Altitude,RPM,PctPwr,TAS,GPH
2000,2100,47,92,6.9
2000,2200,53,99,7.7
2000,2300,61,105,8.6
2000,2400,69,111,9.6
2000,2500,78,115,10.6
2000,2550,83,117,11.1
4000,2100,45,91,6.6
4000,2200,51,98,7.4
4000,2300,58,104,8.2
4000,2400,65,110,9.1
4000,2500,74,115,10.1
4000,2550,79,118,10.6
4000,2600,83,120,11.1
6000,2200,48,96,7.1
6000,2300,54,103,7.8
6000,2400,62,109,8.6
6000,2500,70,115,9.6
6000,2600,78,120,10.6
6000,2650,83,122,11.1
8000,2200,46,94,6.8
8000,2300,52,101,7.5
8000,2400,58,108,8.2
8000,2500,65,114,9.1
8000,2600,74,120,10
8000,2650,78,122,10.5
8000,2700,83,125,11.1
10000,2300,49,100,7.2
10000,2400,55,106,7.9
10000,2500,62,113,8.7
10000,2600,69,119,9.5
10000,2650,73,122,10
10000,2700,78,124,10.5
12000,2300,47,98,6.9
12000,2400,52,105,7.5
12000,2500,58,111,8.3
12000,2600,65,118,9.1
12000,2650,69,121,9.5
